Year,Departures,Domestic,State,International,FlagCarrier_Flights,Name
2020,7422,0,ABW,7422,1925,Aruba
2020,11822,8395,AFG,3427,11496,Afghanistan
2020,4978,2907,AGO,2071,5891,Angola
2020,3742,8,AIA,3734,2249,Anguilla
2020,6535,0,ALB,6535,4085,Albania
2020,30478,13010,ANT,17468,10070,Netherland Antilles
2020,137917,1,ARE,137916,199858,United Arab Emirates
2020,56050,42192,ARG,13858,41913,Argentina
2020,6841,0,ARM,6841,4203,Armenia
2020,62,0,ASM,62,0,American Samoa
2020,6211,0,ATG,6211,13008,Antigua and Barbuda
2020,320121,285602,AUS,34519,309655,Australia
2020,61290,3458,AUT,57832,63472,Austria
2020,9675,119,AZE,9556,12553,Azerbaijan
2020,963,0,BDI,963,0,Burundi
2020,56277,0,BEL,56277,36611,Belgium
2020,2523,0,BEN,2523,17876,Benin
2020,3204,556,BFA,2648,3519,Burkina Faso
2020,61600,45752,BGD,15848,60725,Bangladesh
2020,19880,1949,BGR,17931,8088,Bulgaria
2020,16925,0,BHR,16925,23536,Bahrain
2020,41927,30770,BHS,11157,34856,Bahamas
2020,3515,19,BIH,3496,3634,Bosnia and Herzegovina
2020,10409,0,BLR,10409,17644,Belarus
2020,144941,142363,BLZ,2578,144294,Belize
2020,1386,0,BMU,1386,0,Bermuda
2020,48682,45130,BOL,3552,50505,Bolivia (Plurinational State of)
2020,430912,405525,BRA,25387,302157,Brazil
2020,7729,0,BRB,7729,0,Barbados
2020,2655,0,BRN,2655,4467,Brunei Darussalam
2020,1150,0,BTN,1150,3086,Bhutan
2020,3359,1031,BWA,2328,2745,Botswana
2020,545,0,CAF,545,0,Central African Republic
2020,482663,389070,CAN,93593,499365,Canada
2020,110,0,CCK,110,0,Cocos (Keeling) Islands
2020,84438,2265,CHE,82173,62085,Switzerland
2020,63966,52335,CHL,11631,251066,Chile
2020,3821569,3668383,CHN,153186,3843646,China
2020,6050,390,CIV,5660,2582,Cote d'Ivoire
2020,4184,1137,CMR,3047,168,Cameroon
2020,4860,2314,COD,2546,60394,Democratic Republic of the Congo
2020,3170,1635,COG,1535,1592,Congo
2020,1874,1626,COK,248,1626,Cook Islands
2020,147946,122802,COL,25144,144195,Colombia
2020,2795,1376,COM,1419,2305,Comoros
2020,6181,3455,CPV,2726,5444,Cabo Verde
2020,42606,31895,CRI,10711,29756,Costa Rica
2020,14488,3262,CUB,11226,3353,Cuba
2020,9950,6773,CYM,3177,10630,Cayman Islands
2020,16535,0,CYP,16535,1116,Cyprus
2020,20593,101,CZE,20492,10188,Czech Republic
2020,364400,88111,DEU,276289,318061,Germany
2020,1697,0,DJI,1697,941,Djibouti
2020,3684,0,DMA,3684,0,Dominica
2020,62413,15300,DNK,47113,77871,Denmark
2020,27851,112,DOM,27739,3046,Dominican Republic
2020,25319,15908,DZA,9411,27219,Algeria
2020,21845,13024,ECU,8821,14164,Ecuador
2020,58123,11883,EGY,46240,81633,Egypt
2020,781,0,ERI,781,549,Eritrea
2020,822,0,ESH,822,0,Western Sahara
2020,406607,201904,ESP,204703,296524,Spain
2020,6675,40,EST,6635,0,Estonia
2020,46312,23123,ETH,23189,77518,Ethiopia
2020,44567,18651,FIN,25916,51061,Finland
2020,15088,7546,FJI,7542,10357,Fiji
2020,30,0,FLK,30,0,Falkland Islands (Malvinas)
2020,328000,138554,FRA,189446,238567,France
2020,1101,0,FRO,1101,1888,Faeroe Islands
2020,672,371,FSM,301,0,Micronesia (Federated States of)
2020,5639,3258,GAB,2381,0,Gabon
2020,404068,104104,GBR,299964,481230,United Kingdom of Great Britain and Northern Ireland
2020,7675,8,GEO,7667,3354,Georgia
2020,16081,10554,GHA,5527,13393,Ghana
2020,801,0,GIB,801,0,Gibraltar
2020,1631,0,GIN,1631,272,Guinea
2020,7222,0,GLP,7222,0,Guadeloupe
2020,1305,0,GMB,1305,0,Gambia
2020,602,0,GNB,602,0,Guinea-Bissau
2020,3257,2218,GNQ,1039,3894,Equatorial Guinea
2020,115881,59606,GRC,56275,82630,Greece
2020,2285,0,GRD,2285,0,Grenada
2020,13933,13375,GRL,558,14135,Greenland
2020,10452,3760,GTM,6692,5598,Guatemala
2020,498,0,GUF,498,0,French Guiana
2020,6559,12,GUM,6547,0,Guam
2020,1519,0,GUY,1519,0,Guyana
2020,69890,0,HKG,69890,82697,"China, Hong Kong Special Administrative Region"
2020,19545,14912,HND,4633,15433,Honduras
2020,18337,5926,HRV,12411,14553,Croatia
2020,6077,1556,HTI,4521,3227,Haiti
2020,24530,0,HUN,24530,163022,Hungary
2020,763215,727696,IDN,35519,755221,Indonesia
2020,776959,693545,IND,83414,755136,India
2020,49878,2791,IRL,47087,409878,Ireland
2020,109246,95628,IRN,13618,113087,Iran (Islamic Republic of)
2020,17806,4380,IRQ,13426,12030,Iraq
2020,14044,5421,ISL,8623,16239,Iceland
2020,25310,3507,ISR,21803,14982,Israel
2020,293465,137617,ITA,155848,99672,Italy
2020,20175,7849,JAM,12326,523,Jamaica
2020,13802,847,JOR,12955,15954,Jordan
2020,822130,721481,JPN,100649,778415,Japan
2020,47360,38665,KAZ,8695,46715,Kazakhstan
2020,79233,47185,KEN,32048,93884,Kenya
2020,4909,547,KGZ,4362,41097,Kyrgyzstan
2020,15569,2635,KHM,12934,10415,Cambodia
2020,3895,3748,KIR,147,3796,Kiribati
2020,3422,68,KNA,3354,0,Saint Kitts and Nevis
2020,281104,182953,KOR,98151,333368,Republic of Korea
2020,28207,0,KWT,28207,29539,Kuwait
2020,13016,9548,LAO,3468,21493,Lao People's Democratic Republic
2020,11360,0,LBN,11360,10066,Lebanon
2020,878,0,LBR,878,0,Liberia
2020,4782,270,LBY,4512,9739,Libya
2020,3458,0,LCA,3458,0,Saint Lucia
2020,11383,1399,LKA,9984,10777,Sri Lanka
2020,306,0,LSO,306,0,Lesotho
2020,11455,0,LTU,11455,2242,Lithuania
2020,18119,0,LUX,18119,32780,Luxembourg
2020,15160,169,LVA,14991,23440,Latvia
2020,9388,0,MAC,9388,7885,"China, Macao Special Administrative Region"
2020,43674,10078,MAR,33596,45937,Morocco
2020,16072,0,MCO,16072,0,Monaco
2020,4296,0,MDA,4296,2282,Republic of Moldova
2020,9204,7352,MDG,1852,8029,Madagascar
2020,11387,6337,MDV,5050,7982,Maldives
2020,419140,317972,MEX,101168,375359,Mexico
2020,348,96,MHL,252,0,Marshall Islands
2020,5023,0,MKD,5023,0,The Republic of North Macedonia
2020,3306,160,MLI,3146,0,Mali
2020,10431,0,MLT,10431,12927,Malta
2020,56732,48093,MMR,8639,48455,Myanmar
2020,4068,0,MNE,4068,2856,Montenegro
2020,2615,1841,MNG,774,3040,Mongolia
2020,1918,0,MNP,1918,0,Northern Mariana Islands
2020,9619,7705,MOZ,1914,6897,Mozambique
2020,2376,539,MRT,1837,3808,Mauritania
2020,1064,0,MSR,1064,2116,Montserrat
2020,1501,0,MTQ,1501,0,Martinique
2020,4822,2078,MUS,2744,4928,Mauritius
2020,5182,2924,MWI,2258,3353,Malawi
2020,195532,143352,MYS,52180,202210,Malaysia
2020,2236,0,MYT,2236,2651,Mayotte
2020,6432,3807,NAM,2625,6293,Namibia
2020,9565,8799,NCL,766,11453,New Caledonia
2020,2111,160,NER,1951,160,Niger
2020,218,0,NFK,218,0,Norfolk Island
2020,50153,41225,NGA,8928,38035,Nigeria
2020,6300,3404,NIC,2896,3498,Nicaragua
2020,45,0,NIU,45,0,Niue
2020,129591,197,NLD,129394,170672,Netherlands
2020,205852,170566,NOR,35286,146484,Norway
2020,62374,55974,NPL,6400,61342,Nepal
2020,112,0,NRU,112,335,Nauru
2020,150882,137892,NZL,12990,123593,New Zealand
2020,36908,6235,OMN,30673,50512,Oman
2020,44603,19727,PAK,24876,30962,Pakistan
2020,32768,7619,PAN,25149,51468,Panama
2020,56833,44344,PER,12489,12133,Peru
2020,120709,90502,PHL,30207,113435,Philippines
2020,281,0,PLW,281,0,Palau
2020,40362,39008,PNG,1354,40897,Papua New Guinea
2020,89364,15829,POL,73535,76845,Poland
2020,64962,18222,PRI,46740,9095,Puerto Rico
2020,423,0,PRK,423,832,Democratic People's Republic of Korea
2020,99286,29851,PRT,69435,66298,Portugal
2020,3151,340,PRY,2811,1073,Paraguay
2020,15362,14481,PYF,881,15926,French Polynesia
2020,71151,0,QAT,71151,135208,Qatar
2020,3065,0,REU,3065,3293,Reunion
2020,46883,8721,ROU,38162,31274,Romania
2020,583530,493799,RUS,89731,609078,Russian Federation
2020,5212,314,RWA,4898,8492,Rwanda
2020,190133,130175,SAU,59958,169590,Saudi Arabia
2020,13724,4966,SDN,8758,15539,Sudan
2020,10047,2534,SEN,7513,11272,Senegal
2020,55125,0,SGP,55125,63201,Singapore
2020,561,0,SHN,561,0,Saint Helena
2020,6465,5979,SLB,486,7009,Solomon Islands
2020,1002,0,SLE,1002,0,Sierra Leone
2020,8182,0,SLV,8182,1209,El Salvador
2020,4551,1264,SOM,3287,0,Somalia
2020,442,0,SPM,442,882,Saint Pierre and Miquelon
2020,17331,1,SRB,17330,15359,Serbia
2020,2608,392,SSD,2216,0,South Sudan
2020,1116,660,STP,456,795,Sao Tome and Principe
2020,1375,0,SUR,1375,2933,Suriname
2020,3110,0,SVK,3110,0,Slovakia
2020,1943,0,SVN,1943,0,Slovenia
2020,84862,43311,SWE,41551,137868,Sweden
2020,9762,8518,SYC,1244,9033,Seychelles
2020,1602,2,SYR,1600,2546,Syrian Arab Republic
2020,13009,8773,TCA,4236,24718,Turks and Caicos Islands
2020,1751,650,TCD,1101,2492,Chad
2020,3404,0,TGO,3404,9555,Togo
2020,254960,185526,THA,69434,234761,Thailand
2020,3737,162,TJK,3575,3738,Tajikistan
2020,9057,8253,TKM,804,9197,Turkmenistan
2020,835,0,TLS,835,0,Timor-Leste
2020,2801,2538,TON,263,0,Tonga
2020,14526,8600,TTO,5926,16321,Trinidad and Tobago
2020,18965,2939,TUN,16026,19191,Tunisia
2020,186424,125071,TUR,61353,224016,Turkey
2020,65,0,TUV,65,0,Tuvalu
2020,130264,72862,TWN,57402,147826,Taiwan Island
2020,91516,82066,TZA,9450,88190,United Republic of Tanzania
2020,9859,2925,UGA,6934,7736,Uganda
2020,54854,9358,UKR,45496,37009,Ukraine
2020,3519,2,URY,3517,1680,Uruguay
2020,5870964,5496536,USA,374428,5914352,United States of America
2020,6089,1896,UZB,4193,6315,Uzbekistan
2020,1999,0,VCT,1999,0,Saint Vincent and the Grenadines
2020,20175,14897,VEN,5278,37747,Venezuela (Bolivarian Republic of)
2020,14826,1511,VGB,13315,2267,British Virgin Islands
2020,33762,13843,VIR,19919,14016,United States Virgin Islands
2020,256244,213907,VNM,42337,202865,Viet Nam
2020,9705,9157,VUT,548,9729,Vanuatu
2020,1479,1384,WLF,95,0,Wallis and Futuna Islands
2020,807,0,WSM,807,1132,Samoa
2020,463,8,YEM,455,560,Yemen
2020,96704,76147,ZAF,20557,102696,South Africa
2020,10390,6394,ZMB,3996,6648,Zambia
2020,7577,2896,ZWE,4681,3866,Zimbabwe
